,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title.1,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Action,Adventure,Fantasy,Sci-Fi,Thriller,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Documentary,Short,Film-Noir
1049,David Lynch,144,177,0,202.0,Jürgen Prochnow,913.0,27400000,Virginia Madsen,Dune,97087,2449,José Ferrer,3,"desert planet,dune,giant worm,space travel,spice",http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,569,English,USA,PG-13,40000000,1984,362.0,6.6,2.35,11000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,Julie Taymor,156,133,278,107.0,T.V. Carpio,5000.0,24343673,Jim Sturgess,Across the Universe,91860,5405,Robert Clohessy,0,"anti war,liverpool,love,protest,song",http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,English,USA,PG-13,45000000,2007,117.0,7.4,2.35,14000,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1051,Sam Mendes,323,119,0,10000.0,Kate Winslet,29000.0,22877808,Leonardo DiCaprio,Revolutionary Road,152591,53895,Joe Komara,0,"based on novel,children,connecticut,suburb,work",http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,414,English,USA,R,35000000,2008,14000.0,7.3,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1052,Richard Donner,199,102,503,795.0,David Zayas,13000.0,36883539,Bruce Willis,16 Blocks,112769,15053,Sasha Roiz,2,"alcoholic,courthouse,detective,jail,witness",http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305,English,Germany,PG-13,52000000,2006,929.0,6.6,2.35,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1053,Mathieu Kassovitz,164,101,326,510.0,Charlotte Rampling,14000.0,22531698,Vin Diesel,Babylon A.D.,81523,15990,David Belle,0,"box office flop,convent,mercenary,new york,pregnant",http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,214,English,France,PG-13,70000000,2008,844.0,5.6,2.35,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,John Gray,39,91,29,322.0,Bob Gunton,2000.0,20400913,Alexa PenaVega,The Glimmer Man,15455,3855,Keenen Ivory Wayans,1,"detective,heavy rain,murder,partner,serial killer",http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1,80,English,USA,R,45000000,1996,461.0,5.3,1.85,451,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1055,Harold Ramis,43,117,11000,451.0,Brian Doyle-Murray,905.0,20101861,John de Lancie,Multiplicity,24757,2348,Obba Babatundé,0,"clone,cloning,construction,same actor playing two characters simultaneously on screen,year 1996",http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1,81,English,USA,PG-13,45000000,1996,484.0,6.0,2.35,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,John Schultz,82,86,13,553.0,Carter Jenkins,1000.0,25200412,Malese Jow,Aliens in the Attic,16580,3423,Tim Meadows,3,"alien,attic,boyfriend,mind control,nintendo ds",http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,55,English,USA,PG,45000000,2009,701.0,5.4,1.85,916,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,Sean Penn,150,124,0,19.0,Adrien Dorval,723.0,19719930,Costas Mandylor,The Pledge,42621,793,Nels Lennarson,0,"nevada,pledge,police,porcupine,search",http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,531,English,USA,R,45000000,2001,44.0,6.8,2.35,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1058,Susan Stroman,168,134,38,2000.0,Will Ferrell,11000.0,19377727,Jon Lovitz,The Producers,35140,24351,Matthew Broderick,3,"accountant,money,opening night,scheme,swedish",http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,409,English,USA,PG-13,45000000,2005,8000.0,6.4,2.35,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,Pete Travis,432,95,38,20.0,Jason Cope,409.0,13401683,Wood Harris,Dredd,203461,578,Rakie Ayola,0,"brutality,dark humor,female antagonist,female warrior,post apocalypse",http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588,English,UK,R,35000000,2012,107.0,7.1,2.35,46000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,Simon Wincer,60,100,23,579.0,Treat Williams,1000.0,17300889,Cary-Hiroyuki Tagawa,The Phantom,27648,3855,Kristy Swanson,0,"ghost,new york city,phantom,skull,superhero",http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,148,English,Australia,PG,45000000,1996,642.0,4.9,2.35,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,Billy Bob Thornton,85,220,0,820.0,Henry Thomas,13000.0,15527125,Matt Damon,All the Pretty Horses,11388,15006,Sam Shepard,2,"1940s,cowboy,mexico,railway station,texas",http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,183,English,USA,PG-13,57000000,2000,861.0,5.8,2.35,652,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1062,Oliver Stone,83,212,0,805.0,Bob Hoskins,12000.0,13560960,Anthony Hopkins,Nixon,23996,21130,Joan Allen,0,"courtship,election,paranoia,president,quaker",http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,161,English,USA,R,50000000,1995,5000.0,7.1,2.35,915,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1063,Roman Polanski,343,128,2000,501.0,Olivia Williams,854.0,15523168,Jim Belushi,The Ghost Writer,132423,2507,Timothy Hutton,2,"british prime minister,death,island,memoir,writer",http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,349,English,France,PG-13,45000000,2010,766.0,7.2,2.35,15000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1064,Stephen Sommers,106,106,208,855.0,Jason Flemyng,3000.0,11146409,Djimon Hounsou,Deep Rising,26551,6558,Wes Studi,0,"creature feature,hijacker,ocean,ship,shot in the leg",http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,273,English,USA,R,45000000,1998,1000.0,6.0,2.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1065,Spike Lee,158,160,0,826.0,Omari Hardwick,23000.0,7916887,Joseph Gordon-Levitt,Miracle at St. Anna,15697,26982,Laz Alonso,0,"boy,german soldier,partisan,trapped,village",http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,182,English,USA,R,45000000,2008,1000.0,6.0,2.35,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1066,Yimou Zhang,189,114,611,10.0,Ye Liu,879.0,6565495,Li Gong,Curse of the Golden Flower,36455,949,Man Li,2,"china,chrysanthemum,emperor,empress,prince",http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,229,Mandarin,China,R,45000000,2006,52.0,7.0,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1067,Danny Pang,125,99,15,61.0,Charlie Yeung,12000.0,15279680,Nicolas Cage,Bangkok Dangerous,48245,12166,James With,1,"deaf,hitman,nightclub,pickpocket,rules of profession",http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,154,English,USA,R,40000000,2008,68.0,5.4,1.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1068,Barry Sonnenfeld,87,74,188,865.0,Janeane Garofalo,11000.0,7262288,Zooey Deschanel,Big Trouble,17307,13917,Omar Epps,2,"airport,fbi agent,person in a car trunk,suitcase,suitcase bomb",http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,186,English,USA,PG-13,40000000,2002,1000.0,6.5,1.85,892,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1069,Mike Newell,115,139,179,50.0,Giovanna Mezzogiorno,267.0,4584886,Marcela Mar,Love in the Time of Cholera,19114,538,Unax Ugalde,0,"19th century,colombia,love,marriage,widow",http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,115,English,USA,R,45000000,2007,202.0,6.4,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1070,George P. Cosmatos,24,103,170,269.0,Ben Gazzara,849.0,2154540,Sam Waterston,Shadow Conspiracy,3803,2457,Nicholas Turturro,2,"american president,assassin,conspiracy,president,white house",http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,41,English,USA,R,45000000,1997,623.0,4.9,2.35,68,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,Oliver Parker,152,101,32,104.0,Tim McInnerny,219.0,8129455,Daniel Kaluuya,Johnny English Reborn,89568,661,Togo Igawa,1,"assassin,chinese,conspiracy,gadget,premier",http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,142,English,USA,PG,45000000,2011,141.0,6.3,2.35,17000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1072,Ben Affleck,656,130,0,650.0,Scoot McNairy,1000.0,136019448,Clea DuVall,Argo,452465,3133,Tate Donovan,1,"1970s,cia,f word,u.s. embassy,year 1979",http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,695,English,USA,R,44500000,2012,660.0,7.7,2.35,89000,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1073,Andrew Davis,119,130,99,812.0,Daniel Roebuck,11000.0,183875760,Harrison Ford,The Fugitive,213668,13357,Sela Ward,1,"hospital,on the run,one armed man,surgeon,u.s. marshal",http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,270,English,USA,PG-13,44000000,1993,1000.0,7.8,1.85,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1074,Andy Tennant,161,110,72,789.0,Dorian Missick,18000.0,67061228,Gerard Butler,The Bounty Hunter,96565,21554,Peter Greene,1,"bounty hunter,death,murder,police officer,reporter",http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,135,English,USA,PG-13,40000000,2010,1000.0,5.5,2.35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,Barry Levinson,73,147,272,893.0,Brad Pitt,22000.0,53300852,Robert De Niro,Sleepers,154487,37076,Minnie Driver,3,"boy,guard,kicked in the crotch,prank,sexual abuse",http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,259,English,USA,R,44000000,1996,11000.0,7.5,2.35,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1076,George P. Cosmatos,96,96,170,668.0,Julia Nickson,13000.0,150415432,Sylvester Stallone,Rambo: First Blood Part II,117606,15662,Martin Kove,0,"1980s,mission,prison,rambo,vietnam",http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,217,English,USA,R,44000000,1985,738.0,6.4,2.35,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1077,Brian Gibson,28,118,13,643.0,Demi Moore,23000.0,44834712,Joseph Gordon-Levitt,The Juror,13995,26907,Anne Heche,1,"breasts,mafia,sex scene,temple,woods",http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,62,English,USA,R,44000000,1996,2000.0,5.6,2.35,353,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1078,Norman Ferguson,105,88,3,40.0,Dickie Jones,1000.0,84300000,Mel Blanc,Pinocchio,90360,1178,Cliff Edwards,0,"boy,conscience,fairy,jiminy cricket,pinocchio",http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147,English,USA,Approved,2600000,1940,48.0,7.5,1.37,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,Michael Cimino,102,325,517,678.0,Sam Waterston,12000.0,1500000,Jeff Bridges,Heaven's Gate,9830,14255,Isabelle Huppert,0,"1890s,hired gun,immigrant,johnson county war,sheriff",http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,189,English,USA,R,44000000,1980,849.0,6.8,2.35,1000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1080,Len Wiseman,206,102,235,520.0,Tony Curran,956.0,62318875,Sophia Myles,Underworld: Evolution,156225,2998,Derek Jacobi,1,"death,feud,forbidden love,vampire,werewolf",http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502,English,USA,R,50000000,2006,845.0,6.8,2.35,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,Paul McGuigan,159,110,118,287.0,Spencer Wilding,11000.0,5773519,Daniel Radcliffe,Victor Frankenstein,28618,12876,Daniel Mays,2,"assistant,experiment,frankenstein,medical student,scientist",http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English,USA,PG-13,40000000,2015,1000.0,6.0,2.35,11000,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1082,Gus Van Sant,137,136,835,225.0,Rob Brown,670.0,51768623,F. Murray Abraham,Finding Forrester,73006,1801,Michael Nouri,1,"basketball,mentor,new york,school,writing",http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,297,English,USA,PG-13,43000000,2000,370.0,7.3,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1083,Betty Thomas,116,103,84,664.0,Viggo Mortensen,12000.0,37035515,Steve Buscemi,28 Days,34597,23864,Elizabeth Perkins,1,"12 step program,box office hit,car accident,vomiting,wedding",http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194,English,USA,PG-13,43000000,2000,10000.0,6.0,1.37,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1084,Louis Leterrier,177,103,255,5000.0,Jet Li,11000.0,24520892,Morgan Freeman,Unleashed,85198,22383,Bob Hoskins,1,"collar,dog,fight,fighting,piano",http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,303,English,France,R,45000000,2005,5000.0,7.0,2.35,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1085,Roger Kumble,99,90,16,16.0,Lillian Adams,44.0,24430272,Judith Chapman,The Sweetest Thing,46158,132,Chelsea Bond,3,"female removes her clothes,roommate,voyeur,voyeurism,wedding",http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,403,English,USA,R,43000000,2002,28.0,5.1,1.85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,Sydney Pollack,56,154,521,957.0,Holly Hunter,10000.0,158348400,Tom Cruise,The Firm,88844,14244,Wilford Brimley,0,"bar,fbi,law,law firm,lawyer",http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,142,English,USA,R,42000000,1993,1000.0,6.8,1.85,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1087,Burr Steers,117,99,23,135.0,Charlie Tahan,405.0,31136950,Augustus Prew,Charlie St. Cloud,47364,1066,Valerie Tian,1,"brother brother relationship,death of brother,ghost,seeing dead people,talking with the dead",http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75,English,USA,PG-13,44000000,2010,268.0,6.5,2.35,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1088,Simon West,252,93,165,350.0,Tony Goldwyn,26000.0,29113588,Jason Statham,The Mechanic,117999,27834,Mini Anden,0,"apprentice,disobeying orders,gas station,hitman,nightclub",http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,181,English,USA,R,40000000,2011,956.0,6.6,2.35,16000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1089,Phil Lord,375,109,97,839.0,Dax Flame,17000.0,138447667,Channing Tatum,21 Jump Street,408302,19968,Rob Riggle,2,"narcotics,parody,police,remake,undercover cop",http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345,English,USA,R,42000000,2012,971.0,7.2,2.35,39000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1090,Roger Michell,150,124,50,427.0,Clarke Peters,8000.0,116006080,Julia Roberts,Notting Hill,203269,9255,Dylan Moran,1,"actress,bookstore,friend,kiss,love",http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,602,English,UK,PG-13,42000000,1999,437.0,7.0,2.35,11000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1091,Peter Lord,187,84,91,206.0,Miranda Richardson,579.0,106793915,Imelda Staunton,Chicken Run,140499,1817,Julia Sawalha,0,"chicken,escape,farm,freedom,rooster",http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,358,English,UK,G,45000000,2000,530.0,7.0,1.85,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1092,John Hamburg,108,90,29,650.0,Masi Oka,22000.0,87856565,Philip Seymour Hoffman,Along Came Polly,106909,24534,Debra Messing,1,"bride,friend,honeymoon,insurance,insurance company",http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,268,English,USA,PG-13,42000000,2004,923.0,5.9,1.85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,Reginald Hudlin,21,117,71,547.0,Eartha Kitt,723.0,70100000,John Witherspoon,Boomerang,20183,3841,Geoffrey Holder,1,"advertising,battle of the sexes,dating,one word title,womanizer",http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,41,English,USA,R,40000000,1992,558.0,5.4,1.85,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1094,Paul Feig,270,123,176,749.0,William Xifaras,975.0,159578352,Michael Rapaport,The Heat,133177,4825,Demián Bichir,7,"drug lord,fbi,fbi agent,hospital,shot in the crotch",http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,380,English,USA,R,43000000,2013,815.0,6.6,2.35,24000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1095,Joseph L. Mankiewicz,72,251,311,595.0,Richard Burton,940.0,57750000,Martin Landau,Cleopatra,21554,2957,Roddy McDowall,2,"cleopatra,egypt,epic,queen,roman empire",http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,English,UK,Approved,31115000,1963,726.0,7.0,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1096,Frank Coraci,154,105,153,491.0,Reggie Lee,4000.0,45290318,Salma Hayek,Here Comes the Boom,74169,6727,Charice,2,"claim in title,high school,mixed martial arts,ultimate fighting championship,underdog",http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,112,English,USA,PG,42000000,2012,828.0,6.5,1.85,17000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1097,Carl Franklin,114,115,73,505.0,Adam Scott,11000.0,41543207,Morgan Freeman,High Crimes,30077,15571,Bruce Davison,1,"defense lawyer,lawyer,marine,murder,villager",http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,English,USA,PG-13,42000000,2002,3000.0,6.3,2.35,893,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1098,Barbra Streisand,27,122,0,292.0,Austin Pendleton,12000.0,41252428,Jeff Bridges,The Mirror Has Two Faces,11453,13716,Mimi Rogers,0,"columbia university,lecture,marriage,professor,sex",http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,71,English,USA,PG-13,42000000,1996,592.0,6.5,1.85,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1099,Mark Pellington,166,119,89,395.0,Will Patton,650.0,35228696,Debra Messing,The Mothman Prophecies,63677,1651,David Eigenberg,0,"car accident,death of wife,mothman,point pleasant west virginia,urban legend",http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,460,English,USA,PG-13,32000000,2002,537.0,6.5,2.35,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1100,Larry Charles,288,81,119,412.0,Elton John,468.0,59992760,Bono,Brüno,119622,2134,Slash,1,"austrian,fame,fashion,gay lead character,mockumentary",http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,396,English,USA,R,42000000,2009,442.0,5.8,1.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,John Glen,117,133,46,275.0,Talisa Soto,683.0,34667015,Robert Davi,Licence to Kill,74009,2371,Anthony Zerbe,0,"drug cartel,drug lord,james bond 007,personal vendetta,vengeance",http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,317,English,UK,PG-13,32000000,1989,349.0,6.6,2.35,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,Catherine Hardwicke,291,100,308,913.0,Billy Burke,10000.0,37652565,Gary Oldman,Red Riding Hood,91151,15369,Virginia Madsen,2,"death,forest,love,werewolf,werewolf bite",http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,283,English,USA,PG-13,42000000,2011,2000.0,5.4,2.35,20000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1103,John Herzfeld,151,120,17,808.0,Charlize Theron,22000.0,24375436,Robert De Niro,15 Minutes,42547,33585,Kelsey Grammer,1,"criminal,detective,fire,homicide,media",http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265,English,USA,R,42000000,2001,9000.0,6.1,2.35,748,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1104,Annabel Jankel,36,104,5,687.0,Fisher Stevens,5000.0,20915465,Bob Hoskins,Super Mario Bros.,38203,7723,Fiona Shaw,0,"based on video game,dinosaur,king,mario,plumber",http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,English,UK,PG,42000000,1993,922.0,4.0,1.85,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Andrew Niccol,168,122,487,16.0,Jeremy Crutchley,12000.0,24127895,Nicolas Cage,Lord of War,248123,12076,Jared Burke,2,"1980s,arms dealer,immorality,ukrainian,warlord",http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,437,English,USA,R,50000000,2005,43.0,7.6,2.35,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1106,Yimou Zhang,283,80,611,576.0,Tony Chiu Wai Leung,5000.0,84961,Jet Li,Hero,149414,6229,Maggie Cheung,4,"china,flying,king,palace,sword",http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,Mandarin,China,PG-13,31000000,2002,643.0,7.9,2.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1107,Julie Anne Robinson,127,91,30,497.0,Debbie Reynolds,922.0,26404753,Fisher Stevens,One for the Money,34203,3301,Patrick Fischler,1,"bail bond,bounty hunter,jeans,shot in the butt,title directed by female",http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,169,English,USA,PG-13,40000000,2012,786.0,5.3,2.35,19000,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1108,Evan Goldberg,293,112,133,365.0,Randall Park,11000.0,6105175,James Franco,The Interview,247020,12239,Anders Holm,4,"assassination attempt,communist dictatorship,dictator,exploding helicopter,finger bitten off",http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,835,English,USA,R,44000000,2014,392.0,6.6,2.35,50000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,Sngmoo Lee,95,100,19,433.0,Dong-gun Jang,624.0,5664251,Tony Cox,The Warrior's Way,22309,2056,Jed Brophy,1,"bullet time,explosion,knife throwing,throwing a knife,violence",http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,102,English,New Zealand,R,45000000,2010,489.0,6.3,2.35,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1110,Jean-Pierre Jeunet,213,105,0,52.0,Dany Boon,1000.0,1260917,Omar Sy,Micmacs,24657,1342,André Dussollier,4,"bullet,contortionist,gag humor,human cannonball,revenge",http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,71,French,France,R,27000000,2009,172.0,7.2,2.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1111,Curtis Hanson,119,110,161,196.0,Omar Benson Miller,1000.0,116724075,Mekhi Phifer,8 Mile,187181,1954,Evan Jones,0,"competition,contest,friend,self expression,white rapper",http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,English,USA,R,41000000,2002,418.0,7.0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1112,Brian Helgeland,167,144,241,996.0,Rufus Sewell,13000.0,56083966,Heath Ledger,A Knight's Tale,137003,18761,Bérénice Bejo,1,"chaucer,jousting,knight,medieval times,tournament",http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,English,USA,PG-13,65000000,2001,3000.0,6.9,2.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,Gordon Chan,98,108,4,96.0,Lee Evans,687.0,22108977,Julian Sands,The Medallion,29861,1134,Anthony Chau-Sang Wong,1,"hong kong,interpol,medallion,ship,tough cop",http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,132,English,Hong Kong,PG-13,41000000,2003,312.0,5.2,2.35,505,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,M. Night Shyamalan,234,107,0,766.0,Haley Joel Osment,13000.0,293501675,Bruce Willis,The Sixth Sense,704766,17540,Olivia Williams,0,"able to see the dead,ghost,plot twist,psychic,surprise ending",http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,2073,English,USA,PG-13,40000000,1999,3000.0,8.1,1.85,14000,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
