Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
Bathtubs Over Broadway, PG-13 (for brief language), Dava Whisenant,   87 minutes    , Focus Features  ,  100%    ,    32  ,  91%    , 154
Thriller, NR, Dallas Jackson,   87 minutes    , Netflix  ,  40%    ,    25  ,  18%    , 29
Escape Room," PG-13 (for terror/perilous action, violence, some suggestive material and language)", Adam Robitel,   100 minutes    , Columbia Pictures  ,  51%    ,    152  ,  51%    ," 2,389"
Dragon Ball Super: Broly," PG (for prolonged frenetic sequences of action and violence, and for language)", Tatsuya Nagamine,   115 minutes    , FUNimation Films  ,  84%    ,    55  ,  92%    ," 3,358"
Justice League vs the Fatal Five, PG-13," Apr 16, 2019",   87 minutes    , Warner Bros  ,  100%    ,    8  ,  63%    , 62
Someone Great," R (for drug content, drinking, sexual material and language throughout.)", Jennifer Kaytin Robinson,   92 minutes    , Netflix  ,  82%    ,    51  ,  65%    , 510
Crypto," R (for language throughout, some violence, sexuality and drug use)"," John Stalberg, Jr.",   105 minutes    , Lionsgate  ,  17%    ,    6  ,  59%    , 79
The Perfect Date, NR, Chris Nelson,   89 minutes    , Netflix  ,  65%    ,    17  ,  37%    , 508
Long Lost, NR, Erik Bloomquist,   95 minutes    , Indie Rights  ,  75%    ,    8  ,  76%    , 54
A Fortunate Man (Lykke-Per), NR, Bille August,   162 minutes    , Netflix  ,  80%    ,    5  ,  71%    , 53
Black Site, NR, Tom Paton,   87 minutes    , Epic Pictures  ,  71%    ,    7  ,  12%    , 18
Homecoming: A Film by Beyoncé, NR, Beyoncé Knowles,   137 minutes    , Netflix  ,  98%    ,    54  ,  87%    ," 1,631"
The Squeeze," PG-13 (adult situations/language, violence)", Roger Young,   101 minutes    , HBO Video  ,  14%    ,    7  ,  30%    , 348
The Uncondemned, NR," Nick Louvel,  Michele Mitchell",   81 minutes    , Film at Eleven  ,  100%    ,    13  ,  100%    , 124
Triple Threat," R (for strong violence throughout, and for language)", Jesse V. Johnson,   96 minutes    , Well Go USA Entertainment  ,  68%    ,    31  ,  35%    , 199
Bumblebee, PG-13 (for sequences of sci-fi action violence), Travis Knight,   119 minutes    , Paramount Pictures  ,  91%    ,    237  ,  74%    ," 9,606"
Unicorn Store, NR, Brie Larson,   92 minutes    , Netflix  ,  64%    ,    84  ,  41%    ," 1,547"
A Vigilante, R (for violence and language), Sarah Daggar-Nickson,   91 minutes    , Saban Films  ,  92%    ,    36  ,  48%    , 270
Diane, NR, Kent Jones,   96 minutes    , IFC Films  ,  93%    ,    91  ,  69%    , 77
The Legend of Cocaine Island, NR, Theo Love,   83 minutes    , Netflix  ,  78%    ,    18  ,  66%    , 132
Capernaum (Capharnaüm), R (for language and some drug material), Nadine Labaki,   123 minutes    , Sony Pictures Classics  ,  90%    ,    164  ,  92%    ," 1,137"
White Chamber, NR, Paul Raschid,   89 minutes    , Dark Sky Films  ,  43%    ,    7  ,  20%    , 35
Tucked, NR, Jamie Patterson,   120 minutes    , Gravitas Ventures  ,  94%    ,    17  ,  52%    , 50
MFKZ," NR (for bloody violence, language and some sexual content)"," Guillaume Renard,  Shoujirou Nishimi",   105 minutes    , Fathom Events  ,  41%    ,    17  ,  83%    , 185
Vice, R (for language and some violent images), Adam McKay,   132 minutes    , Annapurna Pictures  ,  66%    ,    344  ,  59%    ," 4,885"
The Great Buster: A Celebration, NR, Peter Bogdanovich,   102 minutes    , Cohen Media Group  ,  93%    ,    44  ,  91%    , 112
The Wind," R (for violence/disturbing images, and some sexuality)", Emma Tammi,   86 minutes    , IFC Midnight  ,  81%    ,    63  ,  50%    , 175
Out of Blue, NR, Carol Morley,   109 minutes    , IFC Films  ,  37%    ,    63  ,  33%    , 34
Screwball, NR, Billy Corben,   105 minutes    , Greenwich Entertainment  ,  94%    ,    31  ,  92%    , 50
The Mule, R (for language throughout and brief sexuality/nudity), Clint Eastwood,   116 minutes    , Warner Bros. Pictures  ,  70%    ,    183  ,  66%    ," 3,994"
The Haunting of Sharon Tate," R (for strong bloody violence, terror, and some language)", Daniel Farrands,   94 minutes    , Saban Films  ,  19%    ,    32  ,  31%    , 160
Rust Creek," R (for violence, language and some drug material)", Jen McGowan,   108 minutes    , IFC Midnight  ,  84%    ,    44  ,  66%    , 563
Mirage (Durante la tormenta), NR, Oriol Paulo,   129 minutes    , Netflix  ,  75%    ,    8  ,  73%    , 200
The Highwaymen, R (for some strong violence and bloody images), John Lee Hancock,   132 minutes    , Netflix  ,  57%    ,    134  ,  73%    ," 1,202"
Nancy Drew and the Hidden Staircase," PG (for peril, suggestive material, thematic elements and language)", Katt Shea,   89 minutes    , Warner Bros.  ,  67%    ,    24  ,  63%    , 150
The Dirt, NR, Jeff Tremaine,   108 minutes    , Netflix  ,  38%    ,    71  ,  94%    ," 6,619"
American Relapse, NR," Pat McGee,  Adam Linkenhelt",   105 minutes    , Gravitas Ventures  ,  100%    ,    8  ,  83%    , 38
The Head Hunter, NR, Jordan Downey,   72 minutes    , Vertical Entertainment  ,  100%    ,    13  ,  56%    , 210
Sobibor, NR, Konstantin Khabenskiy,   110 minutes    , Samuel Goldwyn Films  ,  75%    ,    16  ,  42%    , 52
Fantastic Beasts: The Crimes of Grindelwald, PG-13 (for some sequences of fantasy action), David Yates (II),   134 minutes    , Warner Bros. Pictures  ,  36%    ,    314  ,  54%    ," 14,820"
The Mercy, NR, James Marsh,   101 minutes    , StudioCanal  ,  74%    ,    81  ,  32%    , 342
Chimera Strain," R (for violence, bloody images, and nudity)", Maurice Haeems,   80 minutes    , Vertical Entertainment  ,  60%    ,    5  ,  93%    , 392
Never Grow Old," R (for strong bloody violence, language, some sexual content and brief drug use)", Ivan Kavanagh,   100 minutes    , Saban Films  ,  90%    ,    21  ,  64%    , 105
Second Act," PG-13 (for some crude sexual references, and language)", Peter Segal,   103 minutes    , STXfilms  ,  45%    ,    107  ,  44%    ," 1,177"
Becoming Astrid (Unga Astrid), NR, Pernille Fischer Christensen,   123 minutes    , Music Box Films  ,  96%    ,    28  ,  83%    , 196
Prospect, R (for some violence/bloody images)," Zeek Earl,  Christopher Caldwell (II) ",   97 minutes    , DUST  ,  89%    ,    45  ,  70%    ," 1,014"
A Tuba to Cuba, NR," Danny Clinch,  T.G. Herrington",   84 minutes    , Nom de Guerre Films  ,  100%    ,    11  ,  83%    , 188
Time For Ilhan, NR, Norah Shapiro,   89 minutes    , Gooddocs  ,  94%    ,    17  ,  41%    , 60
The Clovehitch Killer, NR, Duncan Skiles,   110 minutes    , IFC Midnight  ,  77%    ,    31  ,  68%    , 756
Don't Go, NR, David Gleeson,   92 minutes    , IFC Films  ,  39%    ,    23  ,  24%    , 40
Vox Lux," R (for language, some strong violence, and drug content)", Brady Corbet,   112 minutes    , NEON  ,  61%    ,    236  ,  37%    , 984
Pokémon the Movie: The Power of Us, NR, Tetsuo Yajima,   105 minutes    , Oriental Light and Magic  ,  71%    ,    7  ,  68%    , 173
Mission of Honor, NR, David Blair,   107 minutes    , Cinedigm  ,  83%    ,    6  ,  45%    , 64
Lady J (Mademoiselle de Joncquières), NR, Emmanuel Mouret,   109 minutes    , Netflix  ,  83%    ,    12  ,  67%    , 63
Book of Monsters, NR, Stewart Sparke,   84 minutes    , Epic Pictures  ,  75%    ,    8  ,  45%    , 56
Big Kill," R (for violence, some sexuality and brief language)", Scott Martin,   128 minutes    , Archstone Distribution  ,  22%    ,    9  ,  65%    , 78
Level 16, NR, Danishka Esterhazy,   102 minutes    , Dark Sky Films  ,  82%    ,    22  ,  64%    , 91
30 Miles from Nowhere, NR, Caitlin Koller,   83 minutes    , Film Camp Productions  ,  80%    ,    10  ,  50%    , 85
The Vanishing, R (for violence and language), Kristoffer Nyholm,   106 minutes    , Saban Films  ,  85%    ,    39  ,  48%    , 627
Finding Steve McQueen," R (for language throughout, including some sexual references)", Mark Steven Johnson,   90 minutes    , Momentum Pictures  ,  52%    ,    23  ,  67%    , 73
The Cannibal Club, NR, Guto Parente,   81 minutes    , Uncork'd Entertainment  ,  57%    ,    14  ,  73%    , 11
Stray, NR, Joe Sill,   89 minutes    , Screen Media Films  ,  57%    ,    7  ,  20%    , 15
Amy Schumer Growing, NR, Amy Schumer,   60 minutes    , Netflix  ,  79%    ,    14  ,  7%    , 113
Juanita, NR, Clark Johnson,   90 minutes    , Netflix  ,  80%    ,    15  ,  65%    , 97
Honeyglue," R (for language, some sexuality and drug content)", James Bird,   109 minutes    , Zombot Pictures  ,  36%    ,    11  ,  69%    , 58
A Star Is Born," R (for language throughout, some sexuality/nudity and substance abuse)", Bradley Cooper,   135 minutes    , Warner Bros. Pictures  ,  90%    ,    501  ,  79%    ," 20,023"
Ralph Breaks the Internet, PG (for some action and rude humor)," Phil Johnston,  Rich Moore",   114 minutes    , Walt Disney Animation Studios  ,  88%    ,    266  ,  65%    ," 8,438"
Mortal Engines, PG-13 (for sequences of futuristic violence and action), Christian Rivers,   111 minutes    , Universal Pictures  ,  26%    ,    182  ,  49%    ," 3,891"
Mary Queen of Scots, R (for some violence and sexuality), Josie Rourke,   112 minutes    , Focus Features  ,  62%    ,    274  ,  41%    ," 2,564"
The Changeover, NR," Stuart McKenzie,  Miranda Harcourt",   95 minutes    , Vertical Entertainment  ,  69%    ,    32  ,  68%    , 260
The Unseen, NR, Geoff Redknap,   104 minutes    , Monarch Home Entertainment  ,  100%    ,    8  ,  55%    , 244
Life After Flash, NR, Lisa Downs,   94 minutes    , Cleopatra Entertainment  ,  88%    ,    8  ,  83%    , 36
Instant Family," PG-13 (for thematic elements, sexual material, language and some drug referencees)", Sean Anders,   117 minutes    , Paramount Pictures  ,  81%    ,    145  ,  82%    ," 3,315"
Spider-Man: Into the Spider-Verse," PG (for frenetic sequences of animated action violence, thematic elements, and mild language)"," Bob Persichetti,  Peter Ramsey,  Rodney Rothman",   100 minutes    , Sony Pictures  ,  97%    ,    375  ,  93%    ," 19,350"
Patrick, NR, Mandie Fletcher,   94 minutes    , Screen Media Films  ,  36%    ,    33  ,  60%    , 99
The Last Race, NR, Michael Dweck,   74 minutes    , Magnolia Pictures  ,  93%    ,    15  ,  61%    , 114
Lords of Chaos," R (for strong brutal violence, disturbing behavior, grisly images, strong sexuality, nudity, and pervasive language)", Jonas Åkerlund,   112 minutes    , 20th Century Fox  ,  74%    ,    72  ,  62%    , 541
The World Before Your Feet, NR, Jeremy Workman,   95 minutes    , Greenwich Entertainment  ,  100%    ,    29  ,  73%    , 238
The Breaker Upperers, NR," Jackie van Beek,  Madeleine Sami",   81 minutes    , Netflix  ,  89%    ,    45  ,  51%    , 351
Chi-Town, NR, Nick Budabin,   81 minutes    , Full Court Films  ,  100%    ,    6  ,  83%    , 67
Border (Gräns)," R (for some sexual content, graphic nudity, a bloody violent image, and language)", Ali Abbasi,   110 minutes    , NEON  ,  97%    ,    120  ,  77%    ," 1,142"
Between Worlds," R (for strong sexual content, language throughout, drug use and some violence)", Maria Pulera,   90 minutes    , Rise Up  ,  29%    ,    21  ,  86%    , 610
Ben is Back, R (for language throughout and some drug use), Peter Hedges,   103 minutes    , LD Entertainment/Lionsgate/Roadside Attractions  ,  82%    ,    209  ,  69%    ," 1,235"
Green Book," PG-13 (for thematic content, language including racial epithets, smoking, some violence and suggestive material)", Peter Farrelly,   130 minutes    , Universal Pictures  ,  78%    ,    341  ,  91%    ," 9,710"
Donnybrook, R, Tim Sutton,   102 minutes    , IFC Films  ,  38%    ,    45  ,  40%    , 81
Backtrace, R (for violence and some language), Brian A. Miller,   87 minutes    , Lionsgate Premiere  ,  11%    ,    9  ,  24%    , 92
The Boy Who Harnessed the Wind, NR, Chiwetel Ejiofor,   113 minutes    , Netflix  ,  86%    ,    59  ,  88%    , 299
Trading Paint, R (for language), Karzan Kader ,   88 minutes    , Saban Films  ,  0%    ,    12  ,  33%    , 51
Paddleton, NR, Alexandre Lehmann,   89 minutes    , Netflix  ,  90%    ,    41  ,  88%    , 511
Paris Is Us, NR, Elisabeth Vogler,   83 minutes    , Netflix  ,  43%    ,    7  ,  38%    , 22
The Sisters Brothers," R (for violence including disturbing images, language, and some sexual content)", Jacques Audiard,   121 minutes    , Annapurna Pictures  ,  87%    ,    200  ,  68%    ," 2,431"
Robin Hood," PG-13 (for extended sequences of violence and action, and some suggestive references)", Otto Bathurst,   116 minutes    , Summit Entertainment  ,  15%    ,    164  ,  41%    ," 3,497"
Letters From Baghdad, NR," Zeva Oelbaum,  Sabine Krayenbühl",   95 minutes    , Between the Rivers Productions  ,  84%    ,    37  ,  61%    , 868
Bohemian Rhapsody," PG-13 (for thematic elements,suggestive material, drug content and language)", Bryan Singer,   134 minutes    , 20th Century Fox  ,  60%    ,    392  ,  85%    ," 22,872"
Widows," R (for violence, language throughout, and some sexual content/nudity)", Steve McQueen (III),   128 minutes    , 20th Century Fox  ,  91%    ,    396  ,  61%    ," 5,200"
Anna and the Apocalypse," R (for zombie violence and gore, language, and some sexual material)", John McPhail ,   92 minutes    , Orion Pictures  ,  77%    ,    119  ,  62%    ," 1,025"
Rodents of Unusual Size, NR," Quinn Costello,  Chris Metzler,  Jeff Springer",   71 minutes    , Tilapia Film  ,  98%    ,    41  ,  90%    , 186
Among Wolves, NR, Shawn Convey,   94 minutes    , MVD Entertainment Group  ,  100%    ,    12  ,  91%    , 106
The Happy Prince," R (for sexual content, graphic nudity, language and brief drug use)", Rupert Everett,   105 minutes    , Sony Pictures Classics  ,  72%    ,    132  ,  51%    , 469
Creed II," PG-13 (for sports action violence, language, and a scene of sensuality)", Steven Caple Jr.,   130 minutes    , MGM  ,  84%    ,    291  ,  80%    ," 5,439"
The Amityville Murders, NR, Daniel Farrands,   98 minutes    , Skyline Entertainment  ,  7%    ,    15  ,  52%    , 103
Under the Eiffel Tower, NR, Archie Borders,   87 minutes    , The Orchard  ,  41%    ,    17  ,  50%    , 54
"Berlin, I Love You"," R (for language, some sexual content and brief nudity)"," Dianna Agron,  Peter Chelsom,  Claus Clausen,  Fernando Eimbcke,  Justin Franklin ,  Dennis Gansel,  Dani Levy,  Daniel Lwowski,  Stephanie Martin,  Josef Rusnak,  Til Schweiger,  Massy Tadjedin",   120 minutes    , Saban Films  ,  11%    ,    18  ,  29%    , 91
Shoplifters (Manbiki kazoku), R (for some sexual content and nudity), Hirokazu Koreeda,   121 minutes    , Magnolia Pictures  ,  99%    ,    219  ,  91%    ," 2,065"
The Front Runner, R (for language including some sexual references), Jason Reitman,   112 minutes    , Columbia Pictures  ,  60%    ,    221  ,  38%    , 547
Possum, NR, Matthew Holness,   87 minutes    , Dark Sky Films  ,  90%    ,    39  ,  52%    , 372
The Man Who Killed Hitler and Then The Bigfoot, NR, Robert D. Krzykowski,   98 minutes    , RLJE Films  ,  76%    ,    90  ,  51%    , 838
The Favourite," R (for strong sexual content, nudity and language)", Yorgos Lanthimos,   119 minutes    ," Fox Searchlight Pictures, Film4 and Waypoint  ",  93%    ,    387  ,  69%    ," 6,980"
At Eternity's Gate, PG-13 (for some thematic content), Julian Schnabel,   111 minutes    , CBS Films  ,  80%    ,    175  ,  63%    ," 1,199"
Free Solo, PG-13 (for brief strong language)," Elizabeth Chai Vasarhelyi,  Jimmy Chin",   97 minutes    , Greenwich Entertainment  ,  97%    ,    147  ,  93%    ," 2,771"
St. Agatha, NR," Shaun Fletcher,  Sara Sometti Michaels,  Clint Sears",   90 minutes    , Uncork'd Entertainment  ,  64%    ,    25  ,  36%    , 196
High Flying Bird, NR, Steven Soderbergh,   90 minutes    , Netflix  ,  93%    ,    126  ,  41%    , 34
The Final Wish, NR, Timothy Woodward Jr.,   95 minutes    , Cinedigm  ,  89%    ,    9  ,  24%    , 283
The Isle, NR, Matthew Butler-Hart ,   96 minutes    , Brainstorm Media  ,  67%    ,    9  ,  85%    , 527
A Violent Man, NR, Matthew Berkowitz (III) ,   105 minutes    , GVN Releasing  ,  44%    ,    9  ,  72%    , 139
Beneath the Leaves, NR, Adam Marino,   90 minutes    , Vertical Entertainment  ,  20%    ,    5  ,  8%    , 60
Period. End of Sentence., NR, Rayka Zehtabchi,   26 minutes    , Netflix  ,  83%    ,    6  ,  87%    , 93
The Grinch, PG (for brief rude humor)," Scott Mosier,  Yarrow Cheney",   86 minutes    , Universal Pictures  ,  59%    ,    184  ,  50%    ," 12,851"
Then Came You, NR, Peter Hutchings,   99 minutes    , SHOUT! STUDIOS  ,  59%    ,    22  ,  78%    , 226
The Nutcracker and the Four Realms, PG (for some mild peril)," Lasse Hallstrom,  Joe Johnston",   99 minutes    , Walt Disney Pictures  ,  33%    ,    200  ,  33%    ," 2,270"
Lu Over the Wall (Yoake tsugeru Rû no uta), PG (for some peril and thematic elements), Masaaki Yuasa,   107 minutes    , GKIDS  ,  76%    ,    42  ,  67%    , 128
Overlord," R (for strong bloody violence, disturbing images, language, and brief sexual content.)", Julius Avery,   109 minutes    , Paramount Pictures  ,  81%    ,    209  ,  67%    ," 3,965"
Boy Erased," R (for sexual content including an assault, some language and brief drug use)", Joel Edgerton,   111 minutes    , Focus Features  ,  81%    ,    249  ,  74%    ," 2,360"
Postcards From London, NR, Steve McLean,   87 minutes    , Diablo Films  ,  50%    ,    14  ,  33%    , 65
Piercing," R ((for aberrant violent and sexual content, nudity, and language))", Nicolas Pesce,   81 minutes    , Greenwich Entertainment  ,  72%    ,    92  ,  43%    , 254
The Guilty (Den skyldige), R (for language), Gustav Möller,   85 minutes    , Magnolia Pictures  ,  98%    ,    113  ,  87%    ," 1,304"
Black '47," R (for violence, some disturbing images and language)", Lance Daly,   96 minutes    , IFC Films  ,  78%    ,    55  ,  76%    , 753
The Wife, R (for language and some sexual content), Björn Runge,   100 minutes    , Sony Pictures Classics  ,  86%    ,    214  ,  77%    ," 2,239"
A Private War," R (for disturbing violent images, language throughout, and brief sexuality/nudity)", Matthew Heineman,   106 minutes    , Aviron Pictures  ,  87%    ,    135  ,  64%    ," 1,370"
The Unicorn, NR, Robert Schwartzman,   89 minutes    , The Orchard  ,  91%    ,    11  ,  67%    , 210
A Breath Away (Dans la brume), NR, Daniel Roby,   89 minutes    , Gravitas Ventures  ,  45%    ,    11  ,  47%    , 77
Braid," R (for disturbing/violent content, language, some sexuality and drug use)", Mitzi Peirone,   82 minutes    , Blue Fox Entertainment  ,  86%    ,    22  ,  59%    , 241
Suspiria," R (for disturbing content involving ritualistic violence, bloody images and graphic nudity, and for some language including sexual references)", Luca Guadagnino,   152 minutes    , Amazon Studios  ,  65%    ,    315  ,  66%    ," 2,557"
Burning (Beoning), NR, Chang-dong Lee,   148 minutes    , Well Go USA Entertainment  ,  95%    ,    186  ,  82%    ," 1,553"
Nobody's Fool," R (for sexual content and language throughout, and for drug material)", Tyler Perry,   110 minutes    , Paramount Pictures  ,  24%    ,    41  ,  35%    , 650
Slice," R (for bloody violence, language, some drug material and nude images)", Austin Vesely,   82 minutes    , A24  ,  57%    ,    21  ,  35%    , 231
The Golem, NR," Doron Paz,  Yoav Paz",   95 minutes    , Epic Pictures  ,  88%    ,    26  ,  43%    , 230
All the Devil's Men," R (for strong violence, and for language throughout including some sexual references)", Matthew Hope,   90 minutes    , Saban Films  ,  23%    ,    13  ,  16%    , 63
Dear Ex, NR," Chih-Yen Hsu,  Mag Hsu",   100 minutes    , Netflix  ,  89%    ,    9  ,  86%    , 64
The Hole in the Ground, R (for some disturbing images), Lee Cronin,   90 minutes    , A24  ,  84%    ,    86  ,  49%    , 345
Goosebumps 2: Haunted Halloween," PG (for scary creature action and images, some thematic elements, rude humor and language)", Ari Sandel,   100 minutes    , Columbia Pictures  ,  48%    ,    94  ,  39%    ," 1,283"
Halloween," R (for horror violence and bloody images, language, brief drug use and nudity)", David Gordon Green,   109 minutes    , Universal Pictures  ,  79%    ,    361  ,  70%    ," 9,503"
First Man," PG-13 (for some thematic content involving peril, and brief strong language)", Damien Chazelle,   138 minutes    , Universal Pictures  ,  86%    ,    427  ,  67%    ," 8,538"
Mobile Homes, NR, Vladimir de Fontenay,   105 minutes    ," Dark Star Pictures, Uncork'd Entertainment  ",  58%    ,    19  ,  37%    , 47
Don't Come Back from the Moon, NR, Bruce Thierry Cheung,   82 minutes    , Brainstorm Media  ,  94%    ,    16  ,  71%    , 477
The Hate U Give," PG-13 (for mature thematic elements, some violent content, drug material and language)", George Tillman Jr.,   132 minutes    , 20th Century Fox  ,  97%    ,    215  ,  82%    ," 4,237"
The Bookshop," PG (for some thematic elements, language, and brief smoking)", Isabel Coixet,   113 minutes    , Greenwich Entertainment  ,  57%    ,    104  ,  49%    , 453
The Last Suit (El último traje), NR, Pablo Solarz,   92 minutes    , Outsider Pictures  ,  78%    ,    23  ,  89%    , 101
Madeline's Madeline, NR, Josephine Decker,   90 minutes    , Oscilloscope Laboratories  ,  88%    ,    116  ,  43%    , 338
The Old Man & the Gun, PG-13 (for brief strong language), David Lowery,   93 minutes    , Fox Searchlight Pictures  ,  93%    ,    264  ,  61%    ," 2,932"
The Apparition (L'apparition), NR, Xavier Giannoli,   144 minutes    , Music Box Films  ,  72%    ,    43  ,  67%    , 63
Johnny English Strikes Again," PG (for some action violence, rude humor, language and brief nudity)", David Kerr,   88 minutes    , Universal Pictures  ,  37%    ,    106  ,  49%    ," 1,839"
Here and Now (Blue Night), R, Fabien Constant,   96 minutes    , AMBI Distribution  ,  23%    ,    22  ,  9%    , 64
King of Thieves, R (for language throughout), James Marsh,   108 minutes    , Saban Films  ,  35%    ,    80  ,  28%    , 372
Jonathan, NR, Bill Oliver,   101 minutes    , Well Go USA Entertainment  ,  65%    ,    26  ,  56%    , 189
Egg, NR, Marianna Palka,   83 minutes    , Gravitas Ventures  ,  100%    ,    11  ,  40%    , 158
All These Small Moments, NR, Melissa B. Miller-Costanzo,   85 minutes    , Orion Classics  ,  82%    ,    17  ,  64%    , 58
The Dark, NR, Justin P. Lange,   94 minutes    , Dark Sky Films  ,  87%    ,    23  ,  56%    , 483
Girl," R (for some sexual content, graphic nudity and brief disturbing content)", Lukas Dhont,   100 minutes    , Netflix  ,  85%    ,    60  ,  71%    , 306
The Standoff at Sparrow Creek, NR, Henry Dunham,   88 minutes    , RLJ Entertainment  ,  77%    ,    48  ,  65%    , 245
Soni, NR, Ivan Ayr,   97 minutes    , Jabberwockee Talkies  ,  87%    ,    15  ,  72%    , 40
American Renegades," PG-13 (for violence, brief sexuality and language)", Steven Quale,   106 minutes    , EuropaCorp  ,  11%    ,    18  ,  41%    ," 5,841"
Speed Kills," R (for language, some violence and drug material)", Jodi Scurfield,   102 minutes    , Saban Films  ,  0%    ,    16  ,  36%    , 81
I Hate Kids, PG-13 (for some suggestive material and language), John Asher,   89 minutes    , Freestyle Digital Media  ,  22%    ,    9  ,  84%    , 94
Dead Ant, NR, Ron Carlson,   87 minutes    , Cinedigm  ,  64%    ,    14  ,  48%    , 41
Heartlock, NR, Jon Kauffman,   96 minutes    , Dark Star Pictures  ,  40%    ,    5  ,  73%    , 31
Polar, NR, Jonas Åkerlund,   118 minutes    , Netflix  ,  19%    ,    47  ,  63%    , 230
Revenger, NR, Lee Seung-won,   101 minutes    , Netflix  ,  40%    ,    5  ,  52%    , 47
Equalizer 2," R (for brutal violence throughout, language, and some drug content)", Antoine Fuqua,   129 minutes    , Columbia Pictures  ,  52%    ,    196  ,  61%    ," 4,761"
Marie Curie: The Courage of Knowledge, NR, Marie Noelle,   100 minutes    , Big World Pictures  ,  64%    ,    25  ,  55%    ," 1,273"
Scarred Hearts, NR, Radu Jude,   141 minutes    , Big World Pictures  ,  78%    ,    18  ,  86%    , 98
Sgt. Stubby: An American Hero, PG (for war action and some thematic elements), Richard Lanni,   85 minutes    , Fun Academy Media Group  ,  89%    ,    45  ,  93%    , 695
Venom," PG-13 (for intense sequences of sci-fi violence and action, and for language)", Ruben Fleischer,   112 minutes    , Columbia Pictures  ,  29%    ,    337  ,  80%    ," 39,734"
Smallfoot," PG (for some action, rude humor, and thematic elements)", Karey Kirkpatrick,   109 minutes    , Warner Bros. Pictures  ,  76%    ,    122  ,  62%    ," 2,116"
The House That Jack Built," R (for strong disturbingviolence/sadistic behavior, grisly images, language, and nudity)", Lars von Trier,   151 minutes    , IFC Films  ,  57%    ,    127  ,  65%    ," 1,370"
Scaffolding, NR, Matan Yair,   94 minutes    , Breaking Glass Pictures  ,  82%    ,    11  ,  80%    , 73
Memoir of War (La douleur), NR, Emmanuel Finkiel,   126 minutes    , Music Box Films  ,  64%    ,    39  ,  47%    , 45
The House with a Clock in Its Walls," PG (for thematic elements including sorcery, some action, scary images, rude humor and language)", Eli Roth,   104 minutes    , Universal Pictures  ,  66%    ,    209  ,  45%    ," 3,415"
Assassination Nation," R (for disturbing bloody violence, strong sexual material including menace, pervasive language, and for drug and alcohol use - all involving teens)", Sam Levinson,   95 minutes    , NEON  ,  73%    ,    131  ,  55%    ," 1,019"
Lizzie," R (for violence and grisly images, nudity, a scene of sexuality and some language)", Craig William Macneill,   106 minutes    , Roadside Attractions  ,  66%    ,    145  ,  48%    , 485
Colette, R (for some sexuality/nudity), Wash Westmoreland,   111 minutes    , Bleecker Street  ,  87%    ,    209  ,  70%    ," 1,428"
Welcome Home (The Getaway)," R (for sexual content including graphic images, nudity, language and some violence)", George Ratliff,   97 minutes    , Vertical Entertainment  ,  11%    ,    9  ,  35%    , 138
I Still See You," PG-13 (for some violence, terror, partial nudity, and thematic material)", Scott Speer,   96 minutes    , Lionsgate  ,  8%    ,    13  ,  53%    , 241
A Simple Favor," R (for sexual content and language throughout, some graphic nude images, drug use and violence)", Paul Feig,   116 minutes    , Lionsgate  ,  85%    ,    239  ,  73%    ," 6,480"
Galveston, PG-13, Mélanie Laurent,   91 minutes    , RLJE Films  ,  73%    ,    52  ,  54%    , 396
Social Animals, NR, Jonathan Ignatius Green,   87 minutes    , Subconscious Films  ,  88%    ,    17  ,  74%    , 102
1985, NR, Yen Tan,   85 minutes    , Wolfe Releasing  ,  95%    ,    44  ,  81%    , 263
Peppermint, R (for strong violence and language throughout), Pierre Morel,   102 minutes    , STXfilms  ,  12%    ,    142  ,  71%    ," 3,138"
Maine," R (for language, some sexual content and graphic nudity)", Matthew Brown,   86 minutes    , Orion Classics  ,  56%    ,    9  ,  43%    , 42
Little Women, PG-13 (for some thematic elements and teen drinking.), Clare Niederpruem,   112 minutes    , Pinnacle Peak  ,  27%    ,    26  ,  72%    , 227
Roma," R (for graphic nudity, some disturbing images, and language)", Alfonso Cuarón,   135 minutes    , Netflix  ,  95%    ,    377  ,  72%    ," 5,342"
The Super," R (for bloody violence, and language)", Stephan Rick,   90 minutes    , Saban Films  ,  40%    ,    10  ,  68%    , 263
Air Strike," R (for war violence including disturbing images, and for language)", Xiao Feng,   97 minutes    , Lionsgate  ,  0%    ,    5  ,  12%    , 183
River Runs Red, NR," Nov 9, 2018 limited",   84 minutes    , Cinedigm  ,  22%    ,    9  ,  78%    , 262
Bird Box," R (for violence, bloody images, language and brief sexuality)", Susanne Bier,   117 minutes    , Netflix  ,  63%    ,    156  ,  57%    ," 7,079"
Springsteen on Broadway, NR, Thom Zimny,   153 minutes    , Netflix  ,  96%    ,    23  ,  95%    , 124
Hunter Killer, R (for violence and some language), Donovan Marsh,   120 minutes    , Summit Premiere  ,  36%    ,    107  ,  69%    ," 2,179"
Wildlife," PG-13 (for thematic material including a sexual situation, brief strong language, and smoking)", Paul Dano,   104 minutes    , IFC Films  ,  93%    ,    199  ,  72%    ," 1,801"
White Boy Rick," R (for language throughout, drug content, violence, some sexual references, and brief nudity)", Yann Demange,   111 minutes    , Columbia Pictures  ,  59%    ,    149  ,  50%    ," 1,615"
